quote_date,expiration,strike,option_type,underlying_price,bid,ask,mid,volume,open_interest,implied_volatility,moneyness,tte,delta,gamma,vega,theta,z_vol_oi,z_iv,z_spread,iv_residual,pcp_deviation,pcp_dev_pct,if_score_pct,composite_score,flag_wide_spread,flag_zscore_anomaly,flag_surface_anomaly,flag_pcp_violation,flag_greeks_anomaly,if_anomaly
2026-04-21,2026-04-22,706.0,C,706.8800048828125,3.07,3.08,3.075,2439.0,1347.0,0.12537495727539064,0.9987550859032173,1,0.5829052852287532,0.08413261201226312,0.14440216358885352,-0.9782613735387592,0.09938085179063647,-0.8914268305080816,-0.3706437748502642,-0.23111675881135993,-0.3404024406342021,-0.12299993410452321,0.5544776455222324,3,False,False,False,True,True,True
2026-04-21,2026-04-30,515.0,P,706.8800048828125,0.01,0.02,0.015,1.0,920.0,0.6093789062500001,0.7285536391503639,9,-0.00037912929463869123,2.03275855144184e-05,0.0015262098533615062,-0.005137284346348385,-0.06926342724036885,1.7287202323845614,4.952191651349858,0.23615940226745613,3.6966421238928717,0.037713141054679974,0.5538751903206109,3,True,False,False,True,False,True
2026-04-21,2026-04-21,710.0,C,706.8800048828125,0.2,0.21,0.20500000000000002,360936.0,11188.0,0.07837835693359377,1.0044137549451617,1,0.14791303467214628,0.07965001972686434,0.08546347993879497,-0.35351256666113806,2.939130540845341,-1.1458421190865602,-0.005351147562021871,-0.27605976850184033,-0.46097226305687844,-0.23549018011070158,0.9150184909058654,3,False,False,False,True,True,True
2026-04-21,2026-04-21,709.0,C,706.8800048828125,0.4,0.41,0.405,192182.0,8286.0,0.07972111694335937,1.0029990876846757,1,0.24510221912901486,0.10659856551977698,0.11633844783678046,-0.4945247486848342,2.093482168132628,-1.1385731108414607,-0.19862766993675415,-0.2752284040537005,-0.47082980745120917,-0.2832057288694618,0.8861621257534029,3,False,False,False,True,True,True
2026-04-21,2026-04-21,708.0,C,706.8800048828125,0.7,0.71,0.705,120454.0,10190.0,0.08033146240234376,1.0015844204241895,1,0.36352967714498513,0.126287419437966,0.13888146596888482,-0.6034847023060407,1.0329734274423887,-1.1352690161845973,-0.28292913182360435,-0.2751307888904776,-0.32068735184554065,-0.2311258527709462,0.8027748010250684,3,False,False,False,True,True,True
2026-04-21,2026-04-21,707.0,C,706.8800048828125,1.15,1.16,1.1549999999999998,66627.0,2730.0,0.08252870605468751,1.0001697531637033,1,0.4950361256985219,0.13063420759257166,0.14759120589070035,-0.6711716655982259,2.205936839952832,-1.1233742754198892,-0.32726951112772745,-0.27344761026803077,-0.30554489623987147,-0.22973283196018013,0.8671808379036475,3,False,False,False,True,True,True
2026-04-21,2026-04-21,706.0,C,706.8800048828125,1.69,1.7,1.6949999999999998,28566.0,2983.0,0.08204042968750001,0.9987550859032173,1,0.6244001364796595,0.1249771059297132,0.1403643826274354,-0.6541299755619346,0.8234493540747185,-1.1260175511453798,-0.3494004615060685,-0.27445128639925054,-0.34540244063420245,-0.24849078571468833,0.8026294131817244,3,False,False,False,True,True,True
2026-04-21,2026-04-21,705.0,C,706.8800048828125,2.3,2.33,2.315,10302.0,2582.0,0.07837835693359377,0.997340418642731,1,0.7508467656984946,0.10937130504418287,0.11735404920898855,-0.5540795058339371,0.30260498845991035,-1.1458421190865602,-0.2927612677672104,-0.27863009365132474,-0.41525998502853323,-0.26877651537347436,0.7063844623739677,3,False,False,False,True,True,True
2026-04-21,2026-04-21,703.0,C,706.8800048828125,4.04,4.06,4.05,2483.0,1609.0,0.08741146972656251,0.9945110841217588,1,0.8903617505757844,0.05798822903642924,0.06939158347962034,-0.4147743288607863,0.07446920558954549,-1.0969415181649824,-0.35711441828403434,-0.27063445405709824,-0.31997507381730905,-0.1433258367263034,0.5705941456806825,3,False,False,False,True,True,True
2026-04-21,2026-04-23,738.0,C,706.8800048828125,0.01,0.02,0.015,2883.0,17.0,0.18555501953124998,1.0440244382387738,2,0.0009221360644546845,0.0003219118365925093,0.0016354534171690103,-0.007702395951653262,14.868294187462206,-0.5656430973413548,4.952191651349858,-0.13886515138859057,,,0.922673100261466,3,True,True,False,False,False,True
2026-04-21,2027-01-15,255.0,C,706.8800048828125,441.21,444.5,442.855,2.0,2.0,1.0000000000000003e-05,0.36074015142396654,269,0.9904649279328672,0.0,0.0,-0.059899357262730706,-0.007189211036232396,-1.5700878730278152,-0.3371297816770557,-0.59388426980048,-12.722404811093725,-0.05734623118399609,0.5026265261770451,3,False,False,True,True,False,True
2026-04-21,2027-12-17,210.0,C,706.8800048828125,479.8,484.8,482.3,1.0,109.0,1.0000000000000003e-05,0.2970801247020901,605,0.9786825532081472,0.0,0.0,-0.05208699228625221,-0.06851684279217733,-1.5700878730278152,-0.3135576724962832,-0.626556322756744,-18.323291055775996,-0.07575207631735709,0.502661894312229,3,False,False,True,True,False,True
